"All.proteins","Structural.proteins","country"
0.000427661943001569,0.00039605473030591,"China"
0.000474873270799433,0.00041391768108822,"Hong Kong"
0.000464680604705011,0.000457491346873867,"Japan"
0.000388390502575404,0.000372561814635077,"France"
0.00050520316323644,0.000451586052757452,"Taiwan"
0.000562214376388841,0.000581331391889039,"Iran"
0.000432138526181814,0.000407278922228124,"South Korea"
0.000375991408505946,0.000369558638381541,"Italy"
0.000382545705447997,0.000375559043828043,"US"
0.000354655735823727,0.000329073764293905,"UK"
0.000369975218578096,0.00034640424624946,"Netherlands"
0.000374365279391987,0.000354976197697251,"Germany"
0.00050983978363785,0.000468439499672199,"Morocco"
0.000391243955483637,0.000381033113525683,"India"
0.000365384779318902,0.000337544600487752,"Ireland"
0.000384902190217959,0.000355376180063757,"Poland"
0.000387643654132248,0.000384814637750026,"Turkey"
0.000440957086347259,0.000411534823532513,"Croatia"
0.000369767075149296,0.000333348923106775,"Mexico"
0.000377136398010438,0.000365066570672777,"Russia"
0.000497811377266151,0.000465780219207769,"Israel"
0.000368609926148793,0.000347393699143417,"Czechia"
0.000392514042704212,0.000371594329708394,"Romania"
